Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Name,Customer Segment,Department Name,Market,Order City,Order Country,order date (DateOrders),Order Id,Order Item Id,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order Status,Product Name,Product Price,shipping date (DateOrders),Shipping Mode
PAYMENT,4,4,51.22,297.49,Shipping on time,0,Electronics,Home Office,Outdoors,USCA,United States,United States,4/28/2017 6:07,1,1,52.5,0.15,349.99,1,349.99,297.49,51.22,US Center,COMPLETE,Garmin Forerunner 910XT GPS Watch,349.99,5/2/2017 6:07,Standard Class
PAYMENT,4,4,33.23,127.99,Shipping on time,0,Soccer,Home Office,Fan Shop,USCA,United States,United States,4/28/2017 6:07,1,2,32.0,0.2,159.99,1,159.99,127.99,33.23,US Center,COMPLETE,adidas Brazuca 2014 Official Match Ball,159.99,5/2/2017 6:07,Standard Class
PAYMENT,4,4,37.5,199.99,Shipping on time,0,Water Sports,Home Office,Fan Shop,USCA,United States,United States,4/28/2017 6:07,1,3,0.0,0.0,199.99,1,199.99,199.99,37.5,US Center,COMPLETE,Pelican Sunstream 100 Kayak,199.99,5/2/2017 6:07,Standard Class
PAYMENT,4,4,49.17,127.5,Shipping on time,0,Women's Apparel,Home Office,Golf,USCA,United States,United States,4/28/2017 6:07,1,4,22.5,0.15,50.0,3,150.0,127.5,49.17,US Center,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,5/2/2017 6:07,Standard Class
PAYMENT,3,4,-3.55,45.5,Advance shipping,0,Women's Apparel,Consumer,Golf,LATAM,Colombia,Colombia,9/5/2017 20:38,2,5,4.5,0.09,50.0,1,50.0,45.5,-3.55,South America,ON_HOLD,Nike Men's Dri-FIT Victory Golf Polo,50.0,9/8/2017 20:38,Standard Class
PAYMENT,3,4,12.22,89.98,Advance shipping,0,Cleats,Consumer,Apparel,LATAM,Colombia,Colombia,9/5/2017 20:38,2,6,30.0,0.25,59.99,2,119.98,89.98,12.22,South America,ON_HOLD,Perfect Fitness Perfect Rip Deck,59.99,9/8/2017 20:38,Standard Class
PAYMENT,5,4,-13.58,59.39,Late delivery,1,Cleats,Consumer,Apparel,Pacific Asia,New Zealand,New Zealand,2/29/2016 16:13,3,7,0.6,0.01,59.99,1,59.99,59.39,-13.58,Oceania,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,3/5/2016 16:13,Standard Class
PAYMENT,5,4,23.14,92.37,Late delivery,1,Accessories,Consumer,Outdoors,Pacific Asia,New Zealand,New Zealand,2/29/2016 16:13,3,8,12.6,0.12,34.99,3,104.97,92.37,23.14,Oceania,PENDING_PAYMENT,Under Armour Hustle Storm Medium Duffle Bag,34.99,3/5/2016 16:13,Standard Class
PAYMENT,3,4,33.64,118.29,Advance shipping,0,Men's Footwear,Consumer,Apparel,LATAM,Colombia,Colombia,9/4/2016 21:22,4,9,11.7,0.09,129.99,1,129.99,118.29,33.64,South America,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,9/7/2016 21:22,Standard Class
PAYMENT,3,4,-0.38,28.2,Advance shipping,0,Men's Clothing,Consumer,Apparel,LATAM,Colombia,Colombia,9/4/2016 21:22,4,10,1.8,0.06,30.0,1,30.0,28.2,-0.38,South America,COMPLETE,Columbia Men's PFG Anchor Tough T-Shirt,30.0,9/7/2016 21:22,Standard Class
