product,category,units,net_sales,profit,orders,revenue_share_%,cumulative_%,abc_class,profit_margin_%
Field & Stream Sportsman 16 Gun Fire Safe,Fishing,1160,415580.8,45870.08,1160,10.61,10.61,A,11.04
Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,4406,394373.51,41434.07,2175,10.07,20.68,A,10.51
Perfect Fitness Perfect Rip Deck,Cleats,5132,276725.98,28849.95,2555,7.06,27.74,A,10.43
Dell Laptop,Computers,201,270975.0,30046.46,201,6.92,34.66,A,11.09
Pelican Sunstream 100 Kayak,Water Sports,1469,263301.31,30338.54,1469,6.72,41.38,A,11.52
O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,4758,212922.7,24562.94,2354,5.44,46.81,A,11.54
Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,4530,202622.5,21444.07,2243,5.17,51.98,A,10.58
Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,370,199886.3,23412.16,370,5.1,57.09,A,11.71
Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,1708,198560.52,24267.95,1708,5.07,62.15,A,12.22
Garmin Forerunner 910XT GPS Watch,Electronics,595,187216.05,21947.31,595,4.78,66.93,A,11.72
SOLE E35 Elliptical,Cardio Equipment,205,183417.95,14311.59,205,4.68,71.62,A,7.8
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Accessories,400,180816.0,15828.31,400,4.62,76.23,A,8.75
Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,581,157044.38,19068.53,581,4.01,80.24,A,12.14
Coleman 8-Person Instant Tent,Camping & Hiking,564,125979.36,16728.68,564,3.22,83.46,B,13.28
Smart watch,Electronics,369,108849.3,12849.88,369,2.78,86.23,B,11.81
adidas Brazuca 2014 Official Match Ball,Soccer,736,105919.04,11321.3,736,2.7,88.94,B,10.69
Columbia Men's PFG Anchor Tough T-Shirt,Men's Clothing,3181,85679.7,10469.1,1575,2.19,91.13,B,12.22
LIJA Women's Button Golf Dress,Golf Apparel,1111,80010.4,9646.1,554,2.04,93.17,B,12.06
Under Armour Girls' Toddler Spine Surge Runni,Girls' Apparel,1966,70458.97,8781.14,977,1.8,94.97,B,12.46
Under Armour Hustle Storm Medium Duffle Bag,Accessories,1843,58122.4,6532.44,909,1.48,96.45,B,11.24
Titleist Pro V1 High Numbers Golf Balls,Golf Balls,1186,51437.94,5312.35,608,1.31,97.76,C,10.33
Team Golf Pittsburgh Steelers Putter Grip,Golf Gloves,1573,35306.98,4527.86,775,0.9,98.66,C,12.82
Hirzl Women's Soffft Flex Golf Glove,Golf Gloves,1269,24997.28,2586.65,604,0.64,99.3,C,10.35
Glove It Women's Imperial Golf Glove,Golf Gloves,1139,20376.48,2094.71,595,0.52,99.82,C,10.28
Clicgear 8.0 Shoe Brush,Golf Shoes,778,6968.87,778.25,371,0.18,100.0,C,11.17
