region,orders,late_pct,on_time_pct,avg_scheduled_days,avg_actual_days,avg_delay_days,net_sales
Southern Africa,178,61.8,38.2,2.89,3.66,0.77,55679.23
West Africa,156,60.9,39.1,3.07,3.88,0.81,52337.2
Western Europe,761,60.84,39.16,2.81,3.54,0.72,242004.24
Oceania,538,59.85,40.15,2.88,3.5,0.63,167538.36
Caribbean,1026,59.75,40.25,2.99,3.69,0.7,316812.54
South Asia,526,59.7,40.3,2.94,3.6,0.66,172832.96
East Africa,163,58.9,41.1,2.83,3.48,0.65,58348.25
Central America,1113,58.67,41.33,2.91,3.57,0.66,350468.82
Southern Europe,798,58.02,41.98,2.91,3.49,0.58,270028.22
US Center,307,57.65,42.35,3.03,3.61,0.58,93145.96
South of USA,323,57.59,42.41,3.0,3.51,0.51,111542.75
Northern Europe,788,56.98,43.02,2.94,3.53,0.59,270024.24
South America,1105,56.29,43.71,2.92,3.53,0.61,368350.13
West of USA,332,55.72,44.28,3.06,3.58,0.52,112119.96
Southeast Asia,538,55.58,44.42,3.0,3.56,0.56,163299.98
North Africa,162,55.56,44.44,2.69,3.35,0.66,58067.0
Eastern Asia,493,55.17,44.83,2.97,3.55,0.58,166318.17
West Asia,519,54.14,45.86,2.99,3.52,0.53,176995.12
Eastern Europe,800,54.12,45.88,3.0,3.51,0.51,258076.79
East of USA,283,54.06,45.94,2.98,3.45,0.47,94512.01
Canada,323,52.94,47.06,2.92,3.36,0.44,107356.26
